skill,adoption_column,current_adoption_pct,mean_demand_pct,mean_yoy_diff_score,learn_next_priority_score
Python,lang_python,46.77,63.5,1.78,0.95
Google Cloud,plat_google_cloud,19.93,6.25,0.61,0.49
Kubernetes,plat_kubernetes,3.54,6.13,0.34,0.33
Docker,plat_docker,9.62,9.09,0.23,0.21
Generative Ai,aiskill_generative_ai,97.37,11.51,-2.48,-0.07
Llm,aiskill_llm,76.61,15.63,-2.2,-0.51
Power Bi,liskill_power_bi,5.38,6.27,-0.84,-0.79
Pytorch,liskill_pytorch,25.15,16.67,-1.07,-0.8
Tableau,liskill_tableau,5.2,7.14,-1.47,-1.39
Tensorflow,aiskill_tensorflow,0.04,13.12,-1.43,-1.43
Sql,lang_sql,49.95,43.38,-2.88,-1.44
Agile,liskill_agile,14.39,11.14,-2.25,-1.93
Spark,liskill_spark,7.66,15.32,-3.16,-2.92
Machine Learning,aiskill_machine_learning,2.85,15.93,-3.49,-3.39
Azure,plat_microsoft_azure,39.3,17.22,-9.77,-5.93
Aws,plat_amazon_web_services_aws,41.43,25.29,-10.56,-6.18
Communication,,,29.92,0.51,
Leadership,,,7.55,-0.19,
