role,similarity_%
UX Designer,79.3
Data Analyst,77.0
Data Engineer,75.7
Product Manager,73.4
Student,72.7
Marketing Specialist,72.5
Cybersecurity Analyst,71.8
Data Scientist,70.8
Cloud/DevOps Engineer,65.4
ML Engineer,58.6
Fintech Specialist,57.7
Blockchain Developer,57.7
Robotics Engineer,57.7
Software Tester,57.7
Web Developer,57.7
IoT Engineer,57.7
AI Consultant,57.0
AI / ML Engineer,56.5
Gen AI Data Engineer,55.9
AI Leadership,51.5
AI Researcher,51.0
AI/Data Intern,50.8
AI Research Scientist,49.2
Database Administrator,45.0
Business Intelligence Analyst,45.0
AI Annotator,41.2
Cloud/MLOps Engineer,39.7
Senior Data Scientist,35.5
Junior Data Analyst,34.3
Business Analyst,30.0
