feature,mean_abs_shap
liskill_databricks,0.92834824
plat_npm,0.8559515
liskill_milvus,0.850334
liskill_git,0.78528196
liskill_hugging_face,0.5857525
plat_pip,0.4605465
plat_vite,0.44910753
plat_homebrew,0.44165924
plat_yarn,0.3411438
AITrust_Score,0.3410721
liskill_etl,0.30058905
plat_make,0.29735214
plat_docker,0.24318992
liskill_pytorch,0.21849623
plat_kubernetes,0.18867202
aiskill_llm,0.17117947
liskill_scikit_learn,0.14080605
web_node_js,0.11446109
lang_typescript,0.111717336
lang_python,0.108428
liskill_rest_api,0.098024264
comp_log10,0.095122814
plat_cloudflare,0.093485646
ExperienceYears,0.093109205
lang_go,0.0925781
liskill_crm,0.085135564
web_next_js,0.08097054
liskill_gcp,0.080733344
plat_amazon_web_services_aws,0.080215394
disp_risk_score,0.067549795
lang_java,0.067524105
db_mariadb,0.062915124
plat_google_cloud,0.057827644
liskill_power_bi,0.05410133
avg_ai_exposure,0.05103588
db_mongodb,0.049708787
web_react,0.049557954
liskill_big_data,0.048557103
lang_powershell,0.047104083
lang_rust,0.046800528
EdLevel_ordinal,0.04648579
web_spring_boot,0.04491433
liskill_agile,0.03949877
db_sqlite,0.039148625
liskill_hadoop,0.038215246
lang_sql,0.038174454
liskill_microservices,0.038018536
web_express,0.03393407
db_postgresql,0.033108868
lang_bash_shell_all_shells,0.031134568
web_flask,0.02928254
web_fastapi,0.028681625
plat_microsoft_azure,0.027842896
plat_heroku,0.02631999
lang_kotlin,0.025058474
db_mysql,0.024739133
liskill_net,0.024445165
aiskill_ai_literacy,0.02382212
db_elasticsearch,0.023767518
web_jquery,0.020422596
plat_digitalocean,0.019690989
lang_php,0.019609056
db_microsoft_sql_server,0.018701524
lang_lua,0.015781688
lang_javascript,0.014323077
aiskill_artificial_intelligence,0.013974484
db_redis,0.013824104
plat_firebase,0.013645127
country_United States,0.012904667
country_Other,0.012547653
plat_vercel,0.012503489
web_vue_js,0.011119547
liskill_plotly,0.010760576
db_influxdb,0.01075236
web_deno,0.010751632
aiskill_generative_ai,0.010508558
lang_html_css,0.01047612
liskill_aws_bedrock,0.009749212
web_wordpress,0.009514412
db_duckdb,0.008607495
liskill_aws,0.008122734
country_Germany,0.007669198
db_oracle,0.0070071924
db_supabase,0.0064147804
web_nuxt_js,0.006365286
db_bigquery,0.006206049
lang_ruby,0.005531979
web_angular,0.0055290875
